package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,L,A,1.0,2.0,248.0,461.0,244.0,242.0,92.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,L,A,1.0,2.0,252.0,465.0,244.0,228.0,81.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,L,A,1.0,2.0,214.0,427.0,241.0,228.0,56.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,L,A,1.0,2.0,246.0,459.0,243.0,253.0,109.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,L,A,1.0,2.0,302.0,515.0,246.0,263.0,119.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,L,A,1.0,2.0,313.0,526.0,246.0,260.0,118.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,L,A,1.0,2.0,318.0,531.0,246.0,269.0,136.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,L,A,1.0,2.0,329.0,542.0,246.0,273.0,134.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,L,A,1.0,2.0,324.0,537.0,246.0,263.0,121.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,L,A,1.0,2.0,325.0,538.0,246.0,277.0,127.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,L,A,1.0,2.0,318.0,531.0,245.0,255.0,111.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,L,A,1.0,2.0,310.0,523.0,245.0,266.0,111.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,L,A,1.0,2.0,308.0,521.0,244.0,257.0,114.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,L,A,1.0,2.0,319.0,532.0,245.0,283.0,134.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,L,A,1.0,2.0,331.0,544.0,245.0,271.0,130.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,L,A,1.0,2.0,321.0,534.0,244.0,264.0,124.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,L,A,1.0,2.0,320.0,533.0,244.0,262.0,120.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,L,A,1.0,2.0,321.0,534.0,244.0,273.0,148.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,L,A,1.0,2.0,316.0,529.0,243.0,257.0,127.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,L,A,1.0,2.0,315.0,528.0,243.0,259.0,120.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,L,A,1.0,2.0,318.0,531.0,243.0,278.0,110.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,L,A,1.0,2.0,325.0,538.0,243.0,273.0,130.0,0,False,False,0,False,False
