package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,L,D,1.0,2.0,1107.0,1411.0,104.0,407.0,176.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,L,D,1.0,2.0,1097.0,1401.0,103.0,432.0,173.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,L,D,1.0,2.0,1116.0,1420.0,104.0,463.0,178.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,L,D,1.0,2.0,1169.0,1473.0,108.0,505.0,180.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,L,D,1.0,2.0,1185.0,1489.0,109.0,471.0,183.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,L,D,1.0,2.0,1192.0,1496.0,110.0,501.0,180.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,L,D,1.0,2.0,1179.0,1483.0,109.0,447.0,168.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,L,D,1.0,2.0,1113.0,1417.0,105.0,424.0,170.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,L,D,1.0,2.0,1084.0,1388.0,103.0,451.0,175.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,L,D,1.0,2.0,1053.0,1357.0,102.0,379.0,173.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,L,D,1.0,2.0,1035.0,1339.0,100.0,413.0,182.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,L,D,1.0,2.0,1066.0,1370.0,101.0,417.0,169.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,L,D,1.0,2.0,1071.0,1375.0,102.0,428.0,178.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,L,D,1.0,2.0,1073.0,1377.0,103.0,436.0,178.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,L,D,1.0,2.0,1084.0,1388.0,103.0,435.0,181.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,L,D,1.0,2.0,1128.0,1432.0,106.0,459.0,189.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,L,D,1.0,2.0,1165.0,1469.0,108.0,476.0,181.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,L,D,1.0,2.0,1182.0,1486.0,110.0,480.0,172.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,L,D,1.0,2.0,1184.0,1488.0,110.0,455.0,185.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,L,D,1.0,2.0,1171.0,1475.0,110.0,454.0,181.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,L,D,1.0,2.0,1166.0,1470.0,109.0,482.0,174.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,L,D,1.0,2.0,1142.0,1446.0,107.0,454.0,181.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,1,L,D,1.0,2.0,1082.0,1386.0,103.0,403.0,170.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,1,L,D,1.0,2.0,1060.0,1364.0,102.0,427.0,175.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,1,L,D,1.0,2.0,1071.0,1375.0,103.0,408.0,176.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,1,L,D,1.0,2.0,1065.0,1369.0,103.0,415.0,171.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,1,L,D,1.0,2.0,1061.0,1365.0,102.0,422.0,165.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,1,L,D,1.0,2.0,1066.0,1370.0,102.0,416.0,182.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,1,L,D,1.0,2.0,1088.0,1392.0,104.0,451.0,171.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,1,L,D,1.0,2.0,1074.0,1378.0,103.0,401.0,184.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,1,L,D,1.0,2.0,1065.0,1369.0,102.0,424.0,182.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,1,L,D,1.0,2.0,1085.0,1389.0,104.0,432.0,161.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,1,L,D,1.0,2.0,1077.0,1381.0,103.0,431.0,179.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,1,L,D,1.0,2.0,1091.0,1395.0,104.0,482.0,171.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,1,L,D,1.0,2.0,1059.0,1363.0,102.0,392.0,169.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,1,L,D,1.0,2.0,983.0,1287.0,97.0,373.0,166.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,1,L,D,1.0,2.0,993.0,1297.0,97.0,400.0,182.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,1,L,D,1.0,2.0,1024.0,1328.0,100.0,411.0,169.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,1,L,D,1.0,2.0,1011.0,1315.0,99.0,405.0,175.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,1,L,D,1.0,2.0,1014.0,1318.0,100.0,410.0,176.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,1,L,D,1.0,2.0,1070.0,1374.0,104.0,426.0,174.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,1,L,D,1.0,2.0,1115.0,1419.0,107.0,459.0,173.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,1,L,D,1.0,2.0,1115.0,1419.0,107.0,439.0,178.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,1,L,D,1.0,2.0,1124.0,1428.0,107.0,478.0,175.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,1,L,D,1.0,2.0,1096.0,1400.0,105.0,398.0,174.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,1,L,D,1.0,2.0,1026.0,1330.0,101.0,411.0,168.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,1,L,D,1.0,2.0,1049.0,1353.0,102.0,466.0,169.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,1,L,D,1.0,2.0,1004.0,1308.0,99.0,358.0,162.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,1,L,D,1.0,2.0,906.0,1210.0,93.0,359.0,162.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,1,L,D,1.0,2.0,935.0,1239.0,95.0,380.0,158.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,1,L,D,1.0,2.0,972.0,1276.0,98.0,385.0,163.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,1,L,D,1.0,2.0,998.0,1302.0,100.0,415.0,174.0,0,False,False,0,False,False
0 days 00:00:10.400000000,26,1,L,D,1.0,2.0,1030.0,1334.0,102.0,422.0,188.0,0,False,False,0,False,False
0 days 00:00:10.600000000,26,1,L,D,1.0,2.0,1056.0,1360.0,103.0,429.0,181.0,0,False,False,0,False,False
0 days 00:00:10.800000000,26,1,L,D,1.0,2.0,1086.0,1390.0,105.0,461.0,180.0,0,False,False,0,False,False
0 days 00:00:11.000000000,26,1,L,D,1.0,2.0,1099.0,1403.0,105.0,456.0,172.0,0,False,False,0,False,False
0 days 00:00:11.200000000,26,1,L,D,1.0,2.0,1112.0,1416.0,106.0,469.0,173.0,0,False,False,0,False,False
0 days 00:00:11.400000000,26,1,L,D,1.0,2.0,1100.0,1404.0,105.0,430.0,172.0,0,False,False,0,False,False
0 days 00:00:11.600000000,26,1,L,D,1.0,2.0,1088.0,1392.0,105.0,431.0,171.0,0,False,False,0,False,False
0 days 00:00:11.800000000,26,1,L,D,1.0,2.0,1130.0,1434.0,108.0,495.0,165.0,0,False,False,0,False,False
0 days 00:00:12.000000000,26,1,L,D,1.0,2.0,1079.0,1383.0,104.0,396.0,169.0,0,False,False,0,False,False
0 days 00:00:12.200000000,26,1,L,D,1.0,2.0,1019.0,1323.0,101.0,415.0,175.0,0,False,False,0,False,False
0 days 00:00:12.400000000,26,1,L,D,1.0,2.0,1024.0,1328.0,101.0,410.0,173.0,0,False,False,0,False,False
0 days 00:00:12.600000000,26,1,L,D,1.0,2.0,1008.0,1312.0,100.0,409.0,169.0,0,False,False,0,False,False
0 days 00:00:12.800000000,26,1,L,D,1.0,2.0,1004.0,1308.0,99.0,397.0,170.0,0,False,False,0,False,False
0 days 00:00:13.000000000,26,1,L,D,1.0,2.0,1026.0,1330.0,101.0,410.0,178.0,0,False,False,0,False,False
0 days 00:00:13.200000000,26,1,L,D,1.0,2.0,1085.0,1389.0,105.0,453.0,178.0,0,False,False,0,False,False
0 days 00:00:13.400000000,26,1,L,D,1.0,2.0,1110.0,1414.0,107.0,448.0,173.0,0,False,False,0,False,False
0 days 00:00:13.600000000,26,1,L,D,1.0,2.0,1107.0,1411.0,107.0,453.0,175.0,0,False,False,0,False,False
0 days 00:00:13.800000000,26,1,L,D,1.0,2.0,1100.0,1404.0,106.0,446.0,174.0,0,False,False,0,False,False
0 days 00:00:14.000000000,26,1,L,D,1.0,2.0,1086.0,1390.0,104.0,449.0,171.0,0,False,False,0,False,False
0 days 00:00:14.200000000,26,1,L,D,1.0,2.0,1089.0,1393.0,105.0,461.0,176.0,0,False,False,0,False,False
0 days 00:00:14.400000000,26,1,L,D,1.0,2.0,1101.0,1405.0,105.0,460.0,165.0,0,False,False,0,False,False
0 days 00:00:14.600000000,26,1,L,D,1.0,2.0,1049.0,1353.0,102.0,374.0,179.0,0,False,False,0,False,False
0 days 00:00:14.800000000,26,1,L,D,1.0,2.0,1026.0,1330.0,100.0,437.0,178.0,0,False,False,0,False,False
0 days 00:00:15.000000000,26,1,L,D,1.0,2.0,1050.0,1354.0,102.0,393.0,174.0,0,False,False,0,False,False
0 days 00:00:15.200000000,26,1,L,D,1.0,2.0,1020.0,1324.0,100.0,402.0,173.0,0,False,False,0,False,False
0 days 00:00:15.400000000,26,1,L,D,1.0,2.0,1011.0,1315.0,99.0,418.0,180.0,0,False,False,0,False,False
0 days 00:00:15.600000000,26,1,L,D,1.0,2.0,1028.0,1332.0,101.0,430.0,178.0,0,False,False,0,False,False
0 days 00:00:15.800000000,26,1,L,D,1.0,2.0,1058.0,1362.0,103.0,440.0,175.0,0,False,False,0,False,False
0 days 00:00:16.000000000,26,1,L,D,1.0,2.0,1071.0,1375.0,104.0,423.0,179.0,0,False,False,0,False,False
0 days 00:00:16.200000000,26,1,L,D,1.0,2.0,1091.0,1395.0,105.0,464.0,181.0,0,False,False,0,False,False
0 days 00:00:16.400000000,26,1,L,D,1.0,2.0,1117.0,1421.0,107.0,433.0,184.0,0,False,False,0,False,False
0 days 00:00:16.600000000,26,1,L,D,1.0,2.0,1125.0,1429.0,108.0,446.0,169.0,0,False,False,0,False,False
0 days 00:00:16.800000000,26,1,L,D,1.0,2.0,1139.0,1443.0,109.0,467.0,183.0,0,False,False,0,False,False
0 days 00:00:17.000000000,26,1,L,D,1.0,2.0,1107.0,1411.0,106.0,426.0,182.0,0,False,False,0,False,False
0 days 00:00:17.200000000,26,1,L,D,1.0,2.0,1045.0,1349.0,102.0,414.0,179.0,0,False,False,0,False,False
0 days 00:00:17.400000000,26,1,L,D,1.0,2.0,1040.0,1344.0,101.0,424.0,181.0,0,False,False,0,False,False
0 days 00:00:17.600000000,26,1,L,D,1.0,2.0,1051.0,1355.0,102.0,427.0,167.0,0,False,False,0,False,False
0 days 00:00:17.800000000,26,1,L,D,1.0,2.0,1048.0,1352.0,102.0,416.0,184.0,0,False,False,0,False,False
0 days 00:00:18.000000000,26,1,L,D,1.0,2.0,1065.0,1369.0,103.0,432.0,175.0,0,False,False,0,False,False
0 days 00:00:18.200000000,26,1,L,D,1.0,2.0,1061.0,1365.0,103.0,404.0,171.0,0,False,False,0,False,False
0 days 00:00:18.400000000,26,1,L,D,1.0,2.0,1056.0,1360.0,103.0,450.0,183.0,0,False,False,0,False,False
0 days 00:00:18.600000000,26,1,L,D,1.0,2.0,1062.0,1366.0,103.0,411.0,186.0,0,False,False,0,False,False
0 days 00:00:18.800000000,26,1,L,D,1.0,2.0,1073.0,1377.0,104.0,457.0,181.0,0,False,False,0,False,False
0 days 00:00:19.000000000,26,1,L,D,1.0,2.0,1073.0,1377.0,103.0,448.0,171.0,0,False,False,0,False,False
0 days 00:00:19.200000000,26,1,L,D,1.0,2.0,1057.0,1361.0,102.0,425.0,166.0,0,False,False,0,False,False
0 days 00:00:19.400000000,26,1,L,D,1.0,2.0,1085.0,1389.0,105.0,451.0,176.0,0,False,False,0,False,False
0 days 00:00:19.600000000,26,1,L,D,1.0,2.0,1055.0,1359.0,103.0,395.0,157.0,0,False,False,0,False,False
0 days 00:00:19.800000000,26,1,L,D,1.0,2.0,988.0,1292.0,98.0,377.0,173.0,0,False,False,0,False,False
0 days 00:00:20.000000000,26,1,L,D,1.0,2.0,1011.0,1315.0,100.0,414.0,180.0,0,False,False,0,False,False
0 days 00:00:20.200000000,26,1,L,D,1.0,2.0,1052.0,1356.0,103.0,432.0,179.0,0,False,False,0,False,False
0 days 00:00:20.400000000,26,1,L,D,1.0,2.0,1034.0,1338.0,101.0,406.0,178.0,0,False,False,0,False,False
0 days 00:00:20.600000000,26,1,L,D,1.0,2.0,1008.0,1312.0,100.0,427.0,175.0,0,False,False,0,False,False
0 days 00:00:20.800000000,26,1,L,D,1.0,2.0,1064.0,1368.0,103.0,459.0,174.0,0,False,False,0,False,False
0 days 00:00:21.000000000,26,1,L,D,1.0,2.0,1121.0,1425.0,107.0,464.0,179.0,0,False,False,0,False,False
0 days 00:00:21.200000000,26,1,L,D,1.0,2.0,1105.0,1409.0,105.0,433.0,188.0,0,False,False,0,False,False
0 days 00:00:21.400000000,26,1,L,D,1.0,2.0,1102.0,1406.0,105.0,450.0,178.0,0,False,False,0,False,False
0 days 00:00:21.600000000,26,1,L,D,1.0,2.0,1103.0,1407.0,106.0,441.0,186.0,0,False,False,0,False,False
0 days 00:00:21.800000000,26,1,L,D,1.0,2.0,1097.0,1401.0,105.0,456.0,178.0,0,False,False,0,False,False
0 days 00:00:22.000000000,26,1,L,D,1.0,2.0,1114.0,1418.0,107.0,468.0,183.0,0,False,False,0,False,False
0 days 00:00:22.200000000,26,1,L,D,1.0,2.0,1061.0,1365.0,103.0,404.0,170.0,0,False,False,0,False,False
0 days 00:00:22.400000000,26,1,L,D,1.0,2.0,1001.0,1305.0,99.0,381.0,164.0,0,False,False,0,False,False
0 days 00:00:22.600000000,26,1,L,D,1.0,2.0,1011.0,1315.0,100.0,400.0,164.0,0,False,False,0,False,False
0 days 00:00:22.800000000,26,1,L,D,1.0,2.0,1017.0,1321.0,100.0,399.0,176.0,0,False,False,0,False,False
0 days 00:00:23.000000000,26,1,L,D,1.0,2.0,1025.0,1329.0,101.0,392.0,173.0,0,False,False,0,False,False
0 days 00:00:23.200000000,26,1,L,D,1.0,2.0,1044.0,1348.0,102.0,433.0,174.0,0,False,False,0,False,False
0 days 00:00:23.400000000,26,1,L,D,1.0,2.0,1071.0,1375.0,104.0,441.0,182.0,0,False,False,0,False,False
0 days 00:00:23.600000000,26,1,L,D,1.0,2.0,1091.0,1395.0,105.0,474.0,169.0,0,False,False,0,False,False
0 days 00:00:23.800000000,26,1,L,D,1.0,2.0,1081.0,1385.0,104.0,435.0,182.0,0,False,False,0,False,False
0 days 00:00:24.000000000,26,1,L,D,1.0,2.0,1084.0,1388.0,104.0,445.0,170.0,0,False,False,0,False,False
0 days 00:00:24.200000000,26,1,L,D,1.0,2.0,1086.0,1390.0,104.0,432.0,183.0,0,False,False,0,False,False
