package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,2,R,C,1.0,2.0,1259.0,1620.0,104.0,421.0,178.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,2,R,C,1.0,2.0,1163.0,1524.0,97.0,434.0,172.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,2,R,C,1.0,2.0,1184.0,1545.0,98.0,453.0,171.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,2,R,C,1.0,2.0,1191.0,1552.0,99.0,460.0,172.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,2,R,C,1.0,2.0,1172.0,1533.0,98.0,444.0,169.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,2,R,C,1.0,2.0,1175.0,1536.0,98.0,455.0,172.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,2,R,C,1.0,2.0,1153.0,1514.0,97.0,449.0,175.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,2,R,C,1.0,2.0,1122.0,1483.0,94.0,437.0,163.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,2,R,C,1.0,2.0,1162.0,1523.0,97.0,443.0,169.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,2,R,C,1.0,2.0,1199.0,1560.0,99.0,467.0,183.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,2,R,C,1.0,2.0,1204.0,1565.0,99.0,474.0,181.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,2,R,C,1.0,2.0,1194.0,1555.0,99.0,463.0,173.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,2,R,C,1.0,2.0,1186.0,1547.0,99.0,464.0,164.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,2,R,C,1.0,2.0,1158.0,1519.0,97.0,431.0,170.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,2,R,C,1.0,2.0,1103.0,1464.0,94.0,438.0,161.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,2,R,C,1.0,2.0,1101.0,1462.0,94.0,439.0,179.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,2,R,C,1.0,2.0,1119.0,1480.0,94.0,435.0,166.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,2,R,C,1.0,2.0,1119.0,1480.0,94.0,440.0,171.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,2,R,C,1.0,2.0,1125.0,1486.0,95.0,438.0,161.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,2,R,C,1.0,2.0,1129.0,1490.0,96.0,446.0,167.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,2,R,C,1.0,2.0,1088.0,1449.0,93.0,412.0,163.0,0,False,False,0,False,False
